Complexity metrics;Mo; 29 Mai 2017 17:44:37 MESZ;;;;
Method;ev(G);iv(G);v(G);;ev(G)=;Essential cyclomatic complexity
com.vnv.entity.GoogleCode.setState(String);1;1;1;;;
com.vnv.entity.GoogleCode.toString();1;1;1;;;
com.vnv.entity.Message.getId();1;1;1;;;
com.vnv.entity.Message.getReceiver();1;1;1;;;
com.vnv.entity.Message.getSender();1;1;1;;;
com.vnv.entity.Message.getSubject();1;1;1;;;
com.vnv.entity.Message.getText();1;1;1;;;
com.vnv.entity.Message.getTime();1;1;1;;;
com.vnv.entity.Message.setId(Long);1;1;1;;;
com.vnv.entity.Message.setReceiver(User);1;1;1;;;
com.vnv.entity.Message.setSender(User);1;1;1;;;
com.vnv.entity.Message.setSubject(String);1;1;1;;;
com.vnv.entity.Message.setText(String);1;1;1;;;
com.vnv.entity.Message.setTime(long);1;1;1;;;
com.vnv.entity.Message.toString();1;1;1;;;
com.vnv.entity.Post.getCategory();1;1;1;;;
com.vnv.entity.Post.getCreationDate();1;1;1;;;
com.vnv.entity.Post.getCreationTime();1;1;1;;;
com.vnv.entity.Post.getDescription();1;1;1;;;
com.vnv.entity.Post.getFlavour();1;1;1;;;
com.vnv.entity.Post.getId();1;1;1;;;
com.vnv.entity.Post.getPeriod();1;1;1;;;
com.vnv.entity.Post.getPicPath();1;1;1;;;
com.vnv.entity.Post.getPostName();1;1;1;;;
com.vnv.entity.Post.getStatus();1;1;1;;;
com.vnv.entity.Post.getType();1;1;1;;;
com.vnv.entity.Post.getUser();1;1;1;;;
com.vnv.entity.Post.setCategory(Category);1;1;1;;;
com.vnv.entity.Post.setCreationDate(String);1;1;1;;;
com.vnv.entity.Post.setCreationTime(long);1;1;1;;;
com.vnv.entity.Post.setDescription(String);1;1;1;;;
com.vnv.entity.Post.setFlavour(String);1;1;1;;;
com.vnv.entity.Post.setId(Long);1;1;1;;;
com.vnv.entity.Post.setPeriod(String);1;1;1;;;
com.vnv.entity.Post.setPicPath(String);1;1;1;;;
com.vnv.entity.Post.setPostName(String);1;1;1;;;
com.vnv.entity.Post.setStatus(String);1;1;1;;;
com.vnv.entity.Post.setType(String);1;1;1;;;
com.vnv.entity.Post.setUser(User);1;1;1;;;
com.vnv.entity.Post.toJSON();1;1;1;;;
com.vnv.entity.Post.toString();1;1;1;;;
com.vnv.entity.User.equals(Object);6;2;7;;;
com.vnv.entity.User.getConfirmationLink();1;1;1;;;
com.vnv.entity.User.getFacebookId();1;1;1;;;
com.vnv.entity.User.getFirstName();1;1;1;;;
com.vnv.entity.User.getGoogleId();1;1;1;;;
com.vnv.entity.User.getHashedPw();1;1;1;;;
com.vnv.entity.User.getLastName();1;1;1;;;
com.vnv.entity.User.getMail();1;1;1;;;
com.vnv.entity.User.getMailValid();1;1;1;;;
com.vnv.entity.User.getName();1;1;1;;;
com.vnv.entity.User.getNewPassword();1;1;1;;;
com.vnv.entity.User.getPassword();1;1;1;;;
com.vnv.entity.User.getPhone();1;1;1;;;
com.vnv.entity.User.getPhoneValid();1;1;1;;;
com.vnv.entity.User.getPicPath();1;1;1;;;
com.vnv.entity.User.getSalt();1;1;1;;;
com.vnv.entity.User.getSessionId();1;1;1;;;
com.vnv.entity.User.getTime();1;1;1;;;
com.vnv.entity.User.getUid();1;1;1;;;
com.vnv.entity.User.hashCode();1;1;1;;;
com.vnv.entity.User.isFindable();1;1;1;;;
com.vnv.entity.User.setConfirmationLink(String);1;1;1;;;
com.vnv.entity.User.setFacebookId(String);1;1;1;;;
com.vnv.entity.User.setFindable(boolean);1;1;1;;;
com.vnv.entity.User.setFirstName(String);1;1;1;;;
com.vnv.entity.User.setGoogleId(String);1;1;1;;;
com.vnv.entity.User.setHashedPw(String);1;1;1;;;
com.vnv.entity.User.setLastName(String);1;1;1;;;
com.vnv.entity.User.setMail(String);1;1;1;;;
com.vnv.entity.User.setMailValid(Boolean);1;1;1;;;
com.vnv.entity.User.setName(String);1;1;1;;;
com.vnv.entity.User.setNewPassword(String);1;1;1;;;
com.vnv.entity.User.setPassword(String);1;1;1;;;
com.vnv.entity.User.setPhone(String);1;1;1;;;
com.vnv.entity.User.setPhoneValid(Boolean);1;1;1;;;
com.vnv.entity.User.setPicPath(String);1;1;1;;;
com.vnv.entity.User.setSalt(String);1;1;1;;;
com.vnv.entity.User.setSessionId(String);1;1;1;;;
com.vnv.entity.User.setTime(long);1;1;1;;;
com.vnv.entity.User.setUid(Long);1;1;1;;;
com.vnv.entity.User.toJSON();1;1;1;;;
com.vnv.entity.User.toPublic();1;1;1;;;
com.vnv.entity.User.toString();1;1;1;;;
com.vnv.entity.UserRelations.getFriends();1;1;1;;;
com.vnv.entity.UserRelations.getReceivedRequests();1;1;1;;;
com.vnv.entity.UserRelations.getSentRequests();1;1;1;;;
com.vnv.entity.UserRelations.getUid();1;1;1;;;
com.vnv.entity.UserRelations.setFriends(Collection<User>);1;1;1;;;
com.vnv.entity.UserRelations.setReceivedRequests(Collection<User>);1;1;1;;;
com.vnv.entity.UserRelations.setSentRequests(Collection<User>);1;1;1;;;
com.vnv.entity.UserRelations.setUid(long);1;1;1;;;
com.vnv.entity.UserRelations.toString();1;1;1;;;
com.vnv.model.Database.init();1;1;1;;;
com.vnv.model.Database.initNeo4j();1;1;1;;;
com.vnv.model.Database.initRedis();1;1;1;;;
"com.vnv.model.ErrorJSON.ErrorJSON(int;Map<String; Object>)";1;2;2;;;
com.vnv.model.ErrorMessage.ErrorMessage();1;1;1;;;
"com.vnv.model.ErrorMessage.getError(String;int)";1;1;1;;;
com.vnv.model.Fake.getFAKER();1;1;1;;;
com.vnv.model.Fake.getFakeOffer(User);1;1;1;;;
com.vnv.model.Fake.getFakePost(User);1;1;2;;;
com.vnv.model.Fake.getFakeRequest(User);1;1;1;;;
com.vnv.model.Fake.getFakeUser();1;1;1;;;
com.vnv.model.Fake.makeFakeDbEntries(int);1;8;8;;;
com.vnv.model.Http.Http();1;1;1;;;
com.vnv.model.Http.get(String);1;1;1;;;
"com.vnv.model.Http.get(String;Header)";1;1;1;;;
"com.vnv.model.Http.post(String;List<NameValuePair>)";2;2;2;;;
com.vnv.model.Http.responseToString(HttpResponse);2;2;2;;;
com.vnv.model.HttpTest.get();1;2;2;;;
com.vnv.model.MailMessage.MailMessage();1;1;1;;;
com.vnv.model.MailMessage.getGwelcome(String);1;1;1;;;
